url_length,has_https,has_at_symbol,has_hyphen,suspicious_word,has_ip,dot_count,digit_count,special_char_count,is_shortened,slash_count,domain_length,label
64,0,0,0,0,0,1,21,0,0,4,14,1
34,0,0,0,0,0,3,6,0,0,2,16,1
184,0,0,1,1,0,3,30,11,0,3,14,1
39,0,0,1,0,0,1,1,0,0,3,9,0
33,0,0,0,0,0,2,0,0,0,3,15,0
27,0,0,0,0,0,1,7,0,0,3,8,0
96,0,0,1,1,0,3,17,2,0,3,31,1
26,0,0,0,0,0,1,0,0,0,1,25,0
119,0,0,1,1,0,8,0,5,0,5,41,1
34,0,0,0,0,0,2,0,1,0,2,20,0
25,0,0,0,0,0,3,0,0,0,2,10,0
86,0,0,1,0,0,2,19,0,0,4,16,0
101,0,0,0,1,0,5,1,7,0,4,13,1
48,0,0,1,0,0,2,0,0,0,2,24,0
80,0,0,1,0,0,1,6,0,0,5,14,0
88,0,0,0,1,0,4,20,8,0,2,19,1
81,0,0,1,1,0,6,1,6,0,2,36,1
24,0,0,0,0,0,1,3,0,0,2,15,0
24,0,0,0,0,0,3,0,0,0,1,23,1
28,0,0,0,0,0,2,0,0,0,2,10,1
48,0,0,0,0,0,2,2,1,0,2,17,1
61,0,0,0,1,0,3,0,1,0,4,15,1
32,0,0,0,0,0,3,0,0,0,1,17,0
65,0,0,0,0,0,2,0,0,0,4,27,0
34,0,0,0,0,0,2,0,0,0,1,17,0
26,0,0,1,0,0,1,0,0,0,1,14,0
67,0,0,1,0,0,1,2,5,0,1,19,0
10,0,0,0,0,0,1,1,0,0,1,8,1
31,0,0,0,1,0,3,0,0,0,1,17,1
27,0,0,0,0,0,1,6,2,0,3,6,0
171,0,0,1,1,0,4,63,4,0,5,30,1
13,0,0,0,0,0,1,4,0,0,0,13,1
151,0,0,0,0,0,2,21,6,0,2,11,1
54,0,0,0,0,0,3,4,2,0,2,23,0
61,0,0,1,0,0,1,0,0,0,6,15,1
82,0,0,1,0,0,3,7,0,0,3,18,0
31,0,0,0,0,0,1,0,0,0,1,30,0
45,0,0,0,0,0,2,6,2,0,2,17,0
34,0,0,0,0,0,2,0,0,0,2,12,0
56,0,0,1,0,0,1,12,0,0,3,12,0
184,0,0,1,1,0,2,10,20,0,7,7,1
98,0,0,1,1,0,6,2,5,0,8,9,1
68,0,0,0,0,0,1,14,4,0,5,10,0
18,0,0,0,0,0,1,8,0,0,1,9,0
39,0,0,0,0,0,1,0,0,0,4,8,0
40,0,0,1,0,0,1,9,0,0,3,12,0
34,0,0,0,0,0,1,0,0,0,3,17,1
21,0,0,0,0,0,1,4,0,0,1,12,1
98,0,0,1,1,0,6,2,5,0,8,9,1
42,0,0,0,0,0,3,0,0,0,4,19,0
127,0,0,1,0,0,4,0,9,0,7,25,1
18,0,0,0,0,0,1,0,0,0,2,14,1
46,0,0,1,0,0,1,0,0,0,2,9,0
55,0,0,0,0,0,3,8,3,1,1,31,0
98,0,0,1,1,0,6,2,5,0,8,9,1
46,0,0,0,0,0,2,1,0,1,3,15,1
50,0,0,1,0,0,2,4,0,0,4,20,1
25,0,0,0,0,0,1,2,0,0,2,17,1
32,0,0,0,0,0,3,1,0,0,1,20,1
21,0,0,0,0,0,1,0,0,0,2,11,0
24,0,0,0,0,0,3,0,0,0,1,16,0
48,0,0,1,0,0,4,0,0,0,3,21,1
62,0,0,0,0,0,3,1,3,0,2,15,1
35,0,0,1,0,0,1,0,0,0,3,14,0
33,0,0,0,0,0,2,3,0,0,3,14,0
49,0,0,0,0,0,1,0,0,0,3,14,0
38,0,0,0,0,0,2,0,0,0,3,17,0
38,0,0,0,0,0,4,0,0,0,3,27,1
171,0,0,0,1,0,3,15,0,0,6,22,1
58,0,0,0,0,0,5,0,0,0,5,12,1
31,0,0,0,0,0,2,0,0,0,1,17,0
52,0,0,0,0,0,2,2,0,0,4,23,1
25,0,0,1,0,0,2,3,0,0,1,18,1
34,0,0,1,0,0,1,0,0,0,3,9,0
28,0,0,1,0,0,1,4,0,0,2,20,1
124,0,0,1,1,0,6,8,11,0,6,14,1
20,0,0,0,0,0,1,0,0,1,1,14,1
17,0,0,0,0,0,1,0,0,0,1,9,0
36,0,0,0,0,0,2,9,0,0,2,15,0
26,0,0,0,0,0,4,0,0,0,1,16,0
73,0,0,1,0,0,3,6,0,1,3,23,0
139,0,0,1,1,0,3,26,14,1,1,12,0
